name,address
AMC Magic Johnson Capital Center 12 & IMAX,"800 Shopper's Way,       Glenarden,      MD      20774"
AMC Tysons Corner 16 & IMAX,"7850 Tysons Corner Center,       McLean,      VA      22102"
AMC Rio Cinemas 18 & IMAX,"9811 Washingtonian Blvd.,       Gaithersburg,      MD      20878"
Regal Waugh Chapel Stadium 12 & IMAX,"1419 South Main Chapel Way,       Gambrills,      MD      21054"
"Airbus IMAX, Stephen F. Udvar-Hazy Center","14390 Air and Space Museum Parkway,       Chantilly,      VA      20151"
AMC Columbia 14 & IMAX,"10300 Patuxent Parkway,       Columbia,      MD      21044"
AMC Potomac Mills 18 & IMAX,"2700 Potomac Mills Circle,       Woodbridge,      VA      22192"
Regal Fox Stadium 16 & IMAX,"22875 Brambleton Plaza,       Ashburn,      VA      20148"
Regal Manassas Stadium 14 & IMAX,"11380 Bulloch Drive,       Manassas,      VA      20109"
"IMAX, Maryland Science Center","601 Light Street,       Baltimore,      MD      21230"
AMC Owings Mills 17 & IMAX,"10100 Mill Run Circle,       Owings Mills,      MD      21117"
Regal Westview Stadium 16 & IMAX,"5243 Buckeystown Pike,       Frederick,      MD      21704"
AMC White Marsh 16 & IMAX,"8141 Honeygo Blvd.,       Nottingham,      MD      21236"
Regal Fredericksburg 14 & IMAX,"3301 Plank Road, Route 3W,       Fredericksburg,      Virginia      22401"
Regal Atlantic Station  Stadium 16 & IMAX,"261 19th Street NW, Suite 1250,       Atlanta,      GA      30363"
AMC Southlake Pavilion 24 & IMAX,"7065 Mount Zion Circle,       Morrow,      GA      30260"
Regal Arbor Place Stadium 18 & IMAX,"6600 Douglas Boulevard,       Douglasville,      GA      30135"
AMC Barrett Commons 24 & IMAX,"2600 Cobb Place Ln. NW,       Kennesaw,      GA      30144"
New Vision Stonecrest 16 & IMAX,"8060 Mall Parkway,       Lithonia,      GA      30038"
AMC North Point Mall 12 & IMAX,"4500 North Point Circle,       Alpharetta,      GA      30022"
AMC Avenue Forsyth 12 & IMAX,"350 Peachtree Parkway,       Cumming,      GA      30041"
Regal Mall of Georgia Stadium 20 & IMAX,"3333 Buford Drive - Suite 3000,       Buford,      GA      30519"
AMC South Bay Center 12 & IMAX,"95 Allstate Road,       Dorchester,      MA      02125"
Loews Boston Common 19,"175 Tremont Street,       Boston,      MA      02111"
"Simons IMAX, New England Aquarium","Central Wharf,       Boston,      MA      02110"
"Mugar Omni, Museum of Science","1 Science Park,       Boston,      MA      02114"
AMC Assembly Row 12 & IMAX,"395 Artisan Way,       Somerville,      MA      02145"
Showcase Cinema de Lux Randolph & IMAX,"73 Mazzeo Drive,       Randolph,      MA      02368"
Sunbrella IMAX 3D Theater Reading,"50 Walkers Brook Drive,       Reading,      MA      01867"
Sunbrella IMAX 3D Theater Natick,"1 Underprice Way,       Natick,      MA      01760"
AMC Liberty Tree Mall 20 & IMAX,"100 Independence Way,       Danvers,      MA      01923"
AMC Methuen 20 & IMAX,"90 Pleasant Valley St.,       Methuen,      MA      01844"
Providence Place Cinemas 16 and IMAX,"10 Providence Place,       Providence,      RI      02903"
AMC Deer Valley 30 & IMAX,"3033 West Agua Fria Freeway,       Phoenix,      AZ      85027"
AMC DINE-IN Desert Ridge 18 & IMAX,"21001 North Tatum,       Phoenix,      AZ      85050"
AMC Westgate 20 & IMAX,"9400 West Hanna Lane,       Glendale,      AZ      85305"
Harkins Arizona Mills 25 & IMAX,"5000 Arizona Mills Circle,       Tempe,      AZ      85282"
AMC Surprise Pointe & IMAX,"13549 N. Litchfield Road,       Surprise,      AZ      85379"
AMC Superstition East 12 & IMAX,"1935 S. Signal Butte,       Mesa,      AZ      85209"
AMC Metreon 16 & IMAX,"135 Fourth Street, Suite #3000,       San Francisco,      CA      94103"
AMC Bay Street 16 & IMAX,"5614 Shellmound Street,       Emeryville,      CA      94608"
Veranda Luxe Cinema & IMAX,"2035 Diamond Blvd.,       Concord,      CA      94520"
AMC Newpark 12 & IMAX,"400 Newpark Mall,       Newark,      CA      94560"
Regal Hacienda Crossings Stadium 20 & IMAX,"5000 Dublin Boulevard,       Dublin,      CA      94568"
AMC Mercado 20 & IMAX,"3111 Mission College Blvd.,       Santa Clara,      CA      95054"
AMC Brentwood 14 & IMAX,"2525 Sand Creek Rd.,       Brentwood,      CA      94513"
AMC Saratoga 14 & IMAX,"700 El Paseo De Saratoga,       San Jose,      CA      95130"
Edwards Fairfield Stadium 16 & IMAX,"1549 Gateway Boulevard,       Fairfield,      CA      94533"
"IMAX Dome Theater, The Tech Museum","201 South Market Street,       San Jose,      CA      95113"
AMC Eastridge 15 & IMAX,"2190 Eastridge Loop,       San Jose,      CA      95122"
"PACCAR IMAX, Pacific Science Center","200 Second Avenue North,       Seattle,      WA      98109"
"Boeing IMAX, Pacific Science Center","200 Second Avenue North,       Seattle,      WA      98109"
Regal Thornton Place Stadium 14 & IMAX,"301 NE Thornton Place,       Seattle,      WA      98125"
IMAX Lincoln Square Cinemas,"700 Bellevue Way NE,       Bellevue,      WA      98004"
AMC Southcenter 16 & IMAX,"3600 Southcenter Mall,       Tukwila,      WA      98188"
AMC Alderwood Mall 16 & IMAX,"18733 33rd Avenue West,       Lynnwood,      WA      98037"
Regal Issaquah Highlands 12 & IMAX,"940 NE Park Drive,       Issaquah,      WA      98029"
AMC Kent Station 14 & IMAX,"426 Ramsay Way,       Kent,      WA      98032"
Galaxy Uptown Luxury+  & IMAX,"4649 Point Fosdick Drive N.W.,       Gig Harbor,      WA      98335"
Regal Martin Village Stadium 16 & IMAX,"5400 East Martin Way,       Lacey,      WA      98516"
AMC Fairlane 21 & IMAX,"18900 Michigan Avenue,       Dearborn,      MI      48126"
SilverCity Windsor Cinemas & IMAX,"4611 Walker Road,       Windsor,      ON      N8W 3T6"
AMC Forum 30 & IMAX,"44681 Mound Rd.,       Sterling Heights,      MI      48314"
AMC Livonia 20 & IMAX,"19500 Haggerty Road,       Livonia,      MI      48152"
